State,City,Hospital / Private,Category,Systems of Medicine,Contact Details,Area Pin Code,Email address,Website link,Specializations,Services
Andhra Pradesh,Hyderabad,Sunshine Hospital,Private,Allopathic,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel, Paradise, Hyderabad, Andhra Pradesh, Phone- (040) 44550000,  Emergency: 08008108108",500003,info@sunshinehospitals.com,www.sunshinehospitals.com,"Anesthesia, CardiologyCardio Thoracic Surgery, Clinical Pathology, Critical Care and Pain Management, Dentistry, Dialysis, Dietetics and Nutrition, Dermatology, Electrophysiology, ENT, Endocrinology, Emergency and Trauma, General Surgery, Gynaecology, Gastroenterology, Hepatology, haematology, Internal Medicine, Medical Oncology, Minimal Access Surgery, Neurology, Nephrology, Neurosurgery, Orthopedics, Orthopedics, Oncology, Oncology, Ophthalmology, Plastic and Cosmetic Surgery, Pediatrics Surgery, Pediatrics, Physiotherapy, Psychiatry, Pulmonology, Radiology Rheumatology, Surgical Oncology, Shoulder and Sports, Injury Clinic,  Urology, Vascular Surgery","Trauma Care and Emergency Services, Bariatric Surgery, Biochemistry, Blood Bank"
Andhra Pradesh,Hyderabad,Basavatarakam Indo American Cancer Institute And Research Centre,Private,Allopathic,"Banjara Hills, Road No 14, Hyderabad, Andhra Pradesh, Phone- (040) 23551235, 23552131",500034,info@induscancer.com,www.induscancer.com,"Anesthesiology,  Critical Care,  ENT, Gastroenterology,  General Medicine,  Gynaecology,  Medical Oncology,  Micro-Biology,  Nuclear Medicine,  Oncology,  Pathology,  Radiation Oncology,  Surgical Oncology,","Frozen Sections, Immunohistochemistry, Colour Flow , Cytometer, Molecular Diagnostic Services, Tumor Markers, Fully Automated Culture and Identification Systems, Multi slice, ct scan, MRI, Digital-mammography, Pacs, Pet scan, Playroom for Pediatric patients, Psychological, Counseling, Cafeteria, Bank, Photocopier, facility.24 hrs pharmacy with dedicated Cytotoxic, and cold room unitParking zone.Laundry service for patient / attendant.Luggage roomAmbulance facility"
Andhra Pradesh,Hyderabad,Citizens Hospital,Private,Allopathic,"Nallagandla, Serilingampally, Hyderabad, Andhra Pradesh, Phone- (040) 67191919",500019,info@citizenshospitals.com,www.citizenshospitals.com,"Anesthesiology,  Bariatric Surgery,  Cardiology,  Critical Care,  Dentistry,  Dermatology,  Diabetology,  ENT,  ENT and Head and Neck Surgery, Gastroenterology,  General Surgery,  Internal Medicine,  IVF and Infertility,  Laparoscopic Surgery,  Nephrology,  Neuro Surgery,  Neurology,  Obstetricsand Gynaecology,  Orthopedics,  Pediatrics,  Surgical Oncology,  Urology.","Health check-up. and screening packages.  Minor trauma care with specialist services available 24 hours per day, 7 days a week Emergency Department, fully-equipped providing primary and secondary careOutpatient and Inpatient ServicesRadiology 4D PET/CT – the latest advancement in diagnostic imagingDigital x-ray and ultrasound ECG, 2D Echo Digital , MammographyComprehensive pathology and lab services through our partner, AmPath"
Andhra Pradesh,Hyderabad,Om Sai Hospitals,Private,Allopathic,"RCI road, Plot No.32, Sai Nagar, Balapur, Hyderabad, Andhra Pradesh - 500005, Phone- (040) 20029900, 24447444",500005,NA,http://www.omsaihospitals.com,"Bariatric Surgery, Critical Care,  Dentistry,  Dermatology,  Emergency Medicine,  Endocrinology,  Endoscopy,  ENT,  Gastroenterology,  General & Laparoscopic Surgery,  IVF & Infertility,  Maxillofacial Surgery,  Neurology,  Obstetricsand Gynaecology,  Pediatrics,  Physiotherapy,  Plastic Surgery,  Urology","CT Scan, Digital X-RAY, Ultrasound, Digitalized ECG, 2D Echo, Color Doppler,  Pathology, ECG, TMT, PFT, Spirametry"
Andhra Pradesh,Nampally,"Care Hospital, Nampally",Private,Allopathic,"Exhibition Grounds Road, Nampally, Hyderabad, Andhra Pradesh, Phone- (040) 30417777, Emergency: (040) 30417777, Toll Free:1800 108 6666",500001,info@carehospitals.com,www.carehospitals.com,"Anesthesiology,  Bio-Chemistry,  Cardiac Rehab Yoga,  Cardiology,  Cardiothoracic Surgery,  Critical Care,  Dentistry and Maxillofacial Surgery,  Dermatology,  Emergency Medicine,  Endocrinology,  Gastroenterology,  General Surgery,  Gynaecology,  haematology,  Hepatology,  Internal Medicine,  Laboratory Medicine,  Medical Oncology,  Micro-Biology,  Nephrology,  Neuro Surgery,  Neurology,  Obstetricsand Gynaecology,  Ophthalmology Orthopedics and Traumatology,  Otolaryngology,  Pathology,  Pediatrics,  Plastic Surgery and Cosmetic Surgery,  Psychiatry,  Pulmonology,  Radio-Diagnosis,  Rheumatology,  Surgical Gastroenterology,","Blood Bank, Ambulance, Emergency Room, FoodPharmacy, Day Care"
Andhra Pradesh,Nampally,Medwin Hospital,Private,Allopathic,"Raghava Ratna Towers, Nampally, Hyderabad, Andhra Pradesh, Phone- (040) 23202902, Emergency: (040) 23206666, Helpline: 09849524365",500001,info@medwinhospitals.org,www.medwinhospital.com,"Anesthesiology,  Cardiology,  Cardiothoracic Surgery,  Dermatology,  Endocrinology, Gastroenterology,  General Surgery,  Micro-Biology,  Nephrology, ,  Neuro Surgery Neurology,  Obstetricsand Gynaecology,  Oncology,  Ophthalmology,  Orthopedics,  Pathology,  Pediatrics,  Physiotherapy,  Psychiatry,  Pulmonology,  Radiology,  Rheumatology Surgical , Gastroenterology,  Surgical Oncology,  Urology,  Vascular Surgery","Out Patient Service, Day Care Centre, In Patient Service, Emergency Care, Intensive Care Unit, Operation Theatre, Special Diagnostic Lab, Dialysis CentreLaboratory , ServiceBlood Bank , Health Check-ups , Sleep lab, Pharmacy 24x7"
Andhra Pradesh,Secunderabad,Universal Superspeciality Dental Hospital,Private,Allopathic,"37-90/2, 1st Floor, Sajini Plaza,Defence Colony, Neredmet 'X' Roads, Secunderabad ,Andhra Pradesh, Phone- (040)- 27111100, 27111101",500094,praveena_ch@yahoo.com,http://www.universaldentalhospital.com,"Cosmetic Dentistry,  Dentistry,  Orthodontics","Implantology, Correction of Irregular Teeth (Braces), Gum Surgery, Advance Root Canal Therapy, Fixed Partial Dentures, Veneering, Dental Lasers"
Andhra Pradesh,Secunderabad,"Universal Superspeciality Dental Hospital, Kondapur",Private,Allopathic,"1-62/1,Sri Tirumala Subhash Complex, Above Sujana Supermarket,Kothaguda X-Roads, Kondapur,Hyderabad, Andhra Pradesh, Phone : (040) -23004558, 23004559",500084,universaldentalh@gmail.com,www.universaldentalhospital.com,"Cosmetic Dentistry,  Dentistry,  Orthodontics","Implantology, Correction of Irregular Teeth (Braces), Gum Surgery, Advance Root Canal Therapy, Fixed Partial Dentures, Veneering, Dental Lasers"
Andhra Pradesh,Secunderabad,Sunshine Heart Institute,Private,Allopathic,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel, Secunderabad, Hyderabad, Andhra Pradesh, Phone- (040) 43444555, Emergency: 08008102102, Appointments: (040) 43444555, Fax: (040) 27890091",500003,info@sunshineheartinstitute.com,http://www.sunshineheartinstitute.com,"Anesthesiology,  Cardiac Anesthesia,  Cardiology,  Interventional Cardiology,  Pediatric , Cardiothoracic ,Surgery",NA
Andhra Pradesh,Hyderabad,"Centre For Sight, Banjara Hills",Private,Allopathic,"Ashoka Capitol BuildingRoad No 2, Banjara Hills,Hyderabad , Andhra Pradesh, Phone: (040) 40045500, 40042115/6/7/8/9, 08500652020, 08500552020,08500152020, 08500252020",500034,cfshyd.appointment@centreforsight.net,http://www.centreforsight.net/,NA,NA
Andhra Pradesh,Hyderabad,"Centre For Sight, Basheerbagh",Private,Allopathic,"Rajesh Villa, Opp. Hyderabad Nursing Home,Basheerbagh, Hyderabad,Andhra Pradesh, Phone: (040) 66364808",500001,hyderabad@newvisionindia.com,http://www.centreforsight.net/,NA,NA
Andhra Pradesh,Kadapa,"Centre For Sight, Kadapa",Private,Allopathic,"C/o B. S. Uday Kumar, House No.-1/2310 MIGH Housing Board Colony.Kadapa, Andhra Pradesh, Phone: 08562258877",516004,NA,http://www.centreforsight.net/,NA,NA
Andhra Pradesh,Kurnool,"Centre For Sight, Kurnool",Private,Allopathic,"H No: 46/87-56, Woodlands compound, Budhawarpeta,Near Gowri Gopal Hospital, Kurnool, Andhra PradeshPhone: 08518255226",518001,NA,http://www.centreforsight.net/,NA,NA
Andhra Pradesh,Rajahmundry,"Centre For Sight, Rajahmundry",Private,Allopathic,"D.No.17-1-43, A.P. Paper Mills RoadSeethampeta, East Godavari DistrictRajahmundry, Andhra PradeshPhone: 0883-2446555",533264,samir@newvisionindia.com,http://www.centreforsight.net/,NA,NA
Andhra Pradesh,Vijayawada,Manipal Super Specialty Hospital,Private,Allopathic,"Soumya Nagar,Tadepalli, Vijayawada ,Guntur Dist,Vijayawada, Andhra Pradesh, Phone- (0866) 2498200",522501,NA,NA,"Anesthesiology, Biochemistry, Laboratory, Blood Bank, Cardiology, Cardiothoracic Surgery, Critical Care Medicine, Cytology Laboratory, Dental Medicine, Dermatology, ENT, General Surgery, Genetics, Gynaecology, haematology Oncology, General Medicine, Physiotherapy, Plastic Surgery, Psychiatry, Radiology & Imaging, In-Vitro Fertilization , (IVF)/Reproductive Medicine, Medical , Gastroenterology, Microbiology , Laboratory, Minimally Invasive Surgery, Nephrology, Neurology, Neuro Surgery, Dietetics, Ophthalmology, Orthopedic, Pediatrics Surgery, Pediatrics Urology, Pediatrics, Pathology Laboratory, Respiratory, Medicine/TBRD, Rheumatology, Surgical , Gastroenterology, Urology,","24 hours lab services, 24 hours pharmacy, 44 bed ICU, 8 Operation Theatres , Blood Bank , including component preparation Casualty & Emergency services , Day Care services, Dialysis , Echocardiography, TMT, Cathlab Endoscope, Deudenoscopy, Colonoscopy , Gamma camera , Health check services , Radiology , 1.5 tesla MRI, Including Cardiac MR , 4D Ultra sound with Color Doppler , Bedside Color Doppler Digital X ray with Fluoroscopy ,  Interventional Radiology , procedures Mammography  Spiral CT-4 Slice"
Andhra Pradesh,Vijayawada,VIMHANS Hospital,Private,Allopathic,"V.V. Rao Street, Suryaraopet,Vijayawada, Andhra Pradesh, Phone: ( 866) 2432040, 2442174, Telefax: (0866) 2444999, 2444999",520002,vimhans@gmail.com,http://www.vimhanshospital.org/,"Marital counseling,Alcohol and other substance deaddiction treatment,Counseling for childhood and adolescent behavioural problems, academic difficulties and relationship problems Counseling and treatment for suicide prevention",NA
Andhra Pradesh,Visakhapatnam,"Centre For Sight, Visakhapatnam",Private,Allopathic,"H No:49-51-6, Santhipuram, Shankar Mattam road, Visakhapatnam, Andhra Pradesh, Phone: 08912507475",530016,NA,http://www.centreforsight.net/,NA,NA
Arunachal Pradesh,Daporijo,District Hospital,Public,Allopathic,"District Hospital, Daporijo,Upper Subansiri, Arunachal Pradesh, Phone- (03792)- 223276",NA,NA,NA,NA,NA
Arunachal Pradesh,Itanagar,Ramakrishna Mission Hospital,Private,Allopathic,"P.O. - R.K. Mission, Itanagar, Phone- (0360) 2212761-62/ 2212263, 2218780, Fax - (0360) 221276, Emergency and Ambulance: (0360) 2212263, Arunachal Pradesh.",791113,NA,http://rkmh.org/hospital,NA,NA
Arunachal Pradesh,Tawang,Tawang Dist Hospital,Public,Allopathic,"Dist Medical officer,Tawang P.O.Tawang, Arunachal Pradesh, Phone- (03794) 223092, 222339,35, Fax -(03794) 223092.",790104,NA,http://wikimapia.org/25721727/District-Hospital-Tawang,NA,NA
Assam,Barpeta,Fakhruddin Ali Ahmed Medical College and Hospital,Public,Allopathic,"Barpeta Hospital, Jatigaon, Barpeta Town, Assam, Phone- (03665)-252081.",781301,faamc.barpeta2010@gmail.com,www.faamcassam.co.in/,NA,NA
Assam,Dibrugarh,Assam Medical College and Hospital (AMCH),Public,Allopathic,"Assam Medical College, Barbari, Dibrugarh, Assam, Phone- (0373) 2300080/ 2300352",786002,principalamch@rediffmail.com,http://www.assammedicalcollege.in/web/,NA,NA
Assam,Ghungoor,Silchar Medical College and Hospital (SMCH),Public,Allopathic,"Silchar Medical College,Ghungoor, Silchar,Assam, Phone- (03842) 234196, 229110.",788014,smc-asm@nic.in,www.smcassam.gov.in/,NA,NA
Assam,Guwahati,Gauhati Medical College and Hospital (GMCH),Public,Allopathic,"Gauhati Medical College, Guwahati, Assam, Phone- (0361) 02134538 ,2130236, (0361) 2134538 / 2132751 ,Emergency: (0361) 2139219 , (0361) 2139220",781032,gmch-asm@nic.in,www.gmchassam.nic.in,NA,NA
Assam,Jorhat,Jorhat Medical College And Hospital,Public,Allopathic,"Jorhat Medical College & Hospital ,Konwar Path, BarbhetaP.O. Jorhat,Assam, Phone - (0376) 2372818, 2370107",785001,adinathsarmah@rediffmail.com jmc-asm@nic.in,www.jmch.org.in,NA,NA
Assam,Tezpur,Tezpur Medical College and Hospital,Public,Allopathic,"NH-37A, Tezpur, Assam, Phone- (0376) 2370107",784001,tezpurmc@gmail.com,http://www.dmeassam.gov.in/,NA,NA
Bihar,Muzaffarpur,Sri Krishna Memorial College and Hospital,Public,Allopathic,"P.O. Umanagar, Muzaffarpur, Bihar",842004,NA,NA,NA,NA
Bihar,Darbhanga,Darbhanga Medical College and Hospital,Public,Allopathic,"Laheriasaria, Darbhanga, Bihar, Phone- (06272) 233092(0), 233228",846003,NA,http://darbhangamedicalcollege.in,NA,NA
Bihar,Gaya,A N Magadh Medical College and Hospital,Public,Allopathic,"Anuragh Narayan Magadh Medical college & Hospital,Sher Ghati Road, Gaya,Bihar, Phone- (0631)-2410339,4687645, Ambulance No- 2410339",823001,princ_anmmc@rediffmail.com,http://www.anmmc.bih.nic.in/,NA,NA
Bihar,Patna,"All India Institute of Medical Sciences, Patna",Public,Allopathic,"All India Institute of Medical Sciences, Phulwari Sarif, Patna, Phone- (0612) 2920182",801505,admin@aiimspatna.org,http://aiimspatna.org/,NA,NA
Bihar,Patna,Patna Medical College and Hospital,Public,Allopathic,"Patna Medical College, Patna, Phone- (0612) 2300343",800004,NA,http://patnamedicalcollege.com/pmch/,NA,NA
Bihar,Patna,Nalanda Medical College and Hospital,Public,Allopathic,"Kankarbagh Main Road, Patna, Bihar, Phone- (0612) 2354871",800020,NA,http://nmchpatna.org/,NA,NA
Bihar,Patna,Indira Gandhi Institute of Medical Sciences,Public,Allopathic,"Bailey Road, Shiekhpura, Patna, Bihar, Phone- (0612) 2297099",800014,NA,http://www.igims.org/,NA,NA
Bihar,Patna,Rajendra Memorial Research Institute of Medical Sciences,Public,Allopathic,"Indian council of research, Department of health research, Agamkuan, Patna, Bihar, Phone-(0612) 2636651, 2631561",800007,NA,http://www.rmrims.org.in/,NA,NA
Bihar,Patna,Paras HMRI Hospital,Private,Allopathic,"Raza Bazar, Baily Road, Patna, Bihar, Phone- (0612) 2296144, Emergency: (0612) 458555",800014,infopatna@parashospitals.com,http://www.parashospitals.com/?page=paras-patna,"Anesthesiology,  Bariatric Surgery,  Cardiology,  Dermatology,  Emergency Medicine,  Endocrinology,  ENT,  Gastroenterology,  Gastrointestinal Surgery,  Gynaecology,  haematology,  Internal Medicine,  Interventional Radiology,  Joint Replacement Surgery,  Laparoscopic Surgery,  Ophthalmology,  Orthopedics,  Pediatrics",Trauma & Emergency Services
